[2022-02-14 21:04:30,465] Register_Account-Step 01: Open Register page
[2022-02-14 21:04:31,872] Register_Account-Step 02: Enter to Firstname textbox with value is 'Tester'
[2022-02-14 21:04:32,080] Register_Account-Step 03: Enter to Lastname textbox with value is 'Automation'
[2022-02-14 21:04:32,245] Register_Account-Step 04: Enter to Email textbox with value is 'abc12@mail.vn'
[2022-02-14 21:04:32,433] Register_Account-Step 05: Enter to Password textbox with value is '123456'
[2022-02-14 21:04:32,626] Register_Account-Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-02-14 21:04:32,876] Register_Account-Step 07: Click to 'Register' button 
[2022-02-14 21:04:34,379] Register_Account-Step 08: Verify register message is displayed
[2022-02-14 21:04:34,568] Register_Account-Step 09: Click to Logout link 
[2022-02-14 21:04:35,940] Login_Account-Step 01: Navigate to Login page 
[2022-02-14 21:04:37,089] Login_Account-Step 02: Enter to Firstname textbox with value is 'abc12@mail.vn'
[2022-02-14 21:04:37,269] Login_Account-Step 03: Enter to Firstname textbox with value is '123456'
[2022-02-14 21:04:37,403] Login_Account-Step 04: Click to Login button 
[2022-02-14 21:04:38,706] Login_Account-Step 05: Verify 'My Account' link is displayed 
[2022-02-14 21:04:39,010] Login_Account-Step 06: Navigate to 'My Account' page 
[2022-02-14 21:04:40,153] Login_Account-Step 07: Verify 'Customer Infor' page is displayed 
[2022-02-14 21:09:25,033] Register_Account-Step 01: Open Register page
[2022-02-14 21:09:26,314] Register_Account-Step 02: Enter to Firstname textbox with value is 'Tester'
[2022-02-14 21:09:26,500] Register_Account-Step 03: Enter to Lastname textbox with value is 'Automation'
[2022-02-14 21:09:26,649] Register_Account-Step 04: Enter to Email textbox with value is 'abc1247@mail.vn'
[2022-02-14 21:09:26,768] Register_Account-Step 05: Enter to Password textbox with value is '123456'
[2022-02-14 21:09:26,881] Register_Account-Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-02-14 21:09:26,973] Register_Account-Step 07: Click to 'Register' button 
[2022-02-14 21:09:28,211] Register_Account-Step 08: Verify register message is displayed
[2022-02-14 21:09:28,384]  -------------------------- PASSED -------------------------- 
[2022-02-14 21:09:28,384] Register_Account-Step 09: Click to Logout link 
[2022-02-14 21:09:29,610] Login_Account-Step 01: Navigate to Login page 
